"id","name","countryName"
-398,"Canadian Premier League","Canada"
146,"Canadian Soccer League","Canada"
147,"PCSL","Canada"
1237,"Reserve League","Canada"
894,"Campeonato Nacional","Cape Verde Islands"
906,"CIFA Premier League","Cayman Islands"
903,"LFN","Chad"
-229,"Campeonato Nacional Futbol Joven U17","Chile"
-145,"Campeonato Nacional Futbol Joven U19","Chile"
90,"Primera División","Chile"
438,"Primera B","Chile"
779,"Tercera A","Chile"
1020,"Segunda División","Chile"
-342,"U17 Tournament","China PR"
-327,"U16 Championship","China PR"
-301,"U18 League","China PR"
-300,"National Games China U18","China PR"
-293,"China League Two","China PR"
51,"CSL","China PR"
148,"China League One","China PR"
383,"Taiwan Football Premier League","Chinese Taipei"
998,"Enterprise Football League","Chinese Taipei"
1252,"U18 League","Chinese Taipei"
-397,"Pre-Juvenil Sub 17","Colombia"
-396,"Super Copa Juvenil Sub 20","Colombia"
91,"Primera A","Colombia"
448,"Primera B","Colombia"
1429,"Cuadrangulares de ascenso","Colombia"
928,"Ligue 1","Congo"
780,"Super Ligue","Congo DR"
887,"Round Cup","Cook Islands"
315,"Primera División","Costa Rica"
752,"Liga de Ascenso","Costa Rica"
61,"1. HNL","Croatia"
62,"2. HNL","Croatia"
687,"3. HNL","Croatia"
1094,"1. HNL Juniori","Croatia"
567,"Primera Division","Cuba"
75,"1. Division","Cyprus"
486,"2. Division","Cyprus"
663,"3. Division","Cyprus"
1156,"2. Division B2","Cyprus"
1240,"U21 League","Cyprus"
1638,"U19 League","Cyprus"
-129,"Czech League U15","Czech Republic"
-81,"U-16 Czech League","Czech Republic"
-80,"U-19 2nd Czech Liga","Czech Republic"
-79,"U-19 Czech Liga","Czech Republic"
82,"Czech Liga","Czech Republic"
83,"FNL","Czech Republic"
84,"3. liga","Czech Republic"
633,"4. liga","Czech Republic"
1065,"Juniorská liga","Czech Republic"
1071,"1. Liga U19","Czech Republic"
1505,"Tipsport Liga","Czech Republic"
530,"Ligue 1","Côte d'Ivoire"
-268,"U17 Division","Denmark"
-267,"U19 Division","Denmark"
30,"Superliga","Denmark"
39,"1st Division","Denmark"
40,"2nd Division","Denmark"
632,"Denmark Series","Denmark"
1072,"U19 Ligaen","Denmark"
1120,"Reserve League","Denmark"
1189,"U17 Ligaen","Denmark"
1316,"U21 Ligaen","Denmark"
1003,"Division 1","Djibouti"
1134,"Premier League","Dominica"
547,"Liga Mayor","Dominican Republic"
-335,"Copa Sudamericana Play-Offs - Final","Ecuador"
165,"Primera A","Ecuador"
447,"Primera B","Ecuador"
206,"Premier League","Egypt"
666,"Second Divison","Egypt"
1267,"Division One","Egypt"
378,"Primera Division","El Salvador"
-353,"Pass4Soccer Academy","England"
-348,"U13 Championship","England"
-270,"Nike Academy","England"
-184,"Conference National Play-Off","England"
-164,"Other Competitions","England"
8,"Premier League","England"
15,"League One","England"
32,"League Two","England"
70,"Championship","England"
71,"National League","England"
302,"National League N / S","England"
306,"Non League Premier","England"
308,"Non League Div One","England"
949,"Premier Reserve League","England"
950,"U18 Premier League","England"
1058,"U21 Premier League Division 1 (OLD)","England"
1191,"Professional Development League","England"
1192,"Central League","England"
1385,"Youth Alliance","England"
1387,"U18 Professional Development League","England"
1405,"U21 Premier League Division 2 ","England"
1592,"Premier League 2 Division One","England"
1593,"Premier League 2 Division Two","England"
111,"Meistriliiga","Estonia"
112,"Esiliiga A","Estonia"
783,"II Liiga","Estonia"
1108,"Esiliiga B","Estonia"
1343,"U19 League","Estonia"
880,"Premier League","Ethiopia"
81,"Meistaradeildin","Faroe Islands"
384,"1. Deild","Faroe Islands"
792,"2. Deild","Faroe Islands"
591,"National Football League","Fiji"
22,"Veikkausliiga","Finland"
35,"Ykkönen","Finland"
41,"Kakkonen","Finland"
1328,"A-Junior League","Finland"
1515,"Kolmonen","Finland"
-282,"Championnat National U17","France"
16,"Ligue 1","France"
17,"Ligue 2","France"
57,"National 1","France"
354,"National 2","France"
557,"National 3","France"
951,"Championnat National U19","France"
888,"Championnat D1","Gabon"
809,"GFA League","Gambia"
166,"Erovnuli Liga","Georgia"
761,"Erovnuli Liga 2","Georgia"
1100,"Liga 3","Georgia"
1118,"Reserve League","Georgia"
-316,"Sachsen-Anhalt Pokal","Germany"
-315,"Thüringen Pokal","Germany"
-223,"U-17 Bundesliga","Germany"
9,"Bundesliga","Germany"
11,"2. Bundesliga","Germany"
55,"Regionalliga","Germany"
366,"Oberliga","Germany"
622,"3. Liga","Germany"
945,"U19 Bundesliga","Germany"
487,"Premier League","Ghana"
-153,"Super League K17","Greece"
107,"Super League","Greece"
108,"Football League","Greece"
140,"Gamma Ethniki","Greece"
989,"Delta Ethniki","Greece"
1074,"Super League K20","Greece"
584,"Premier Division","Grenada"
676,"Soccer League","Guam"
320,"Liga Nacional","Guatemala"
746,"Primera Division","Guatemala"
1265,"Ligue 1","Guinea"
777,"GFF Elite League","Guyana"
523,"Ligue Haïtienne","Haiti"
463,"Liga Nacional","Honduras"
113,"Premier League","Hong Kong"
657,"HKFA 1st Division","Hong Kong"
1190,"Reserve Division","Hong Kong"
-381,"U17 League","Hungary"
67,"NB I","Hungary"
68,"NB II","Hungary"
656,"NB III","Hungary"
1124,"U19 League","Hungary"
1161,"U21 League","Hungary"
1162,"U18 League","Hungary"
-320,"U17 League","Iceland"
31,"Úrvalsdeild","Iceland"
38,"1. Deild","Iceland"
544,"2. Deild","Iceland"
1119,"3. Deild","Iceland"
1227,"U19 League","Iceland"
1363,"4. Deild","Iceland"
150,"I-League","India"
534,"I-League 2nd Division","India"
1232,"Calcutta Premier Division A","India"
1346,"U19 League","India"
1417,"Indian Super League","India"
1455,"U18 League","India"
151,"Liga 2","Indonesia"
629,"Liga 1","Indonesia"
1001,"IPL","Indonesia"
1472,"ISC A","Indonesia"
1473,"ISC B","Indonesia"
76,"Persian Gulf Pro League","Iran"
602,"Azadegan League","Iran"
-329,"Iraqi Super Cup","Iraq"
518,"Iraqi League","Iraq"
34,"Premier Division","Republic of Ireland"
77,"First Division","Republic of Ireland"
627,"A Championship","Republic of Ireland"
-30,"Leumit Youth","Israel"
117,"Ligat ha'Al","Israel"
141,"Liga Leumit","Israel"
142,"Liga Alef","Israel"
1193,"U19 Elite Division","Israel"
1493,"Liga Bet","Israel"
-380,"Campionato Nazionale Under 16 Serie C","Italy"
-359,"Beach Soccer - serie A","Italy"
-358,"Super Cup Primavera 2","Italy"
-355,"Coppa della Divisione Calcio a 5","Italy"
-346,"Coppa Italia Eccellenza","Italy"
-337,"Supercoppa - Futsal","Italy"
-317,"Torneo Internazionale Carlin's Boys","Italy"
-297,"Campionato Nazionale Under 15 Serie C","Italy"
-279,"Futsal Serie A","Italy"
-275,"Campionato Nazionale Under 17 Serie C","Italy"
-274,"Campionato Nazionale Under 15 A&B","Italy"
-273,"Campionato Nazionale Under 16 A&B","Italy"
-272,"Campionato Nazionale Under 17 A&B","Italy"
-271,"Trofeo Tim","Italy"
-258,"31° Trofeo Brizzi - Memorial Pisani 2016","Italy"
-199,"Your Football Coverciano Camp","Italy"
-180,"Eccellenza","Italy"
-179,"Promozione","Italy"
-178,"3a Categoria","Italy"
-177,"2a Categoria","Italy"
-176,"1a Categoria","Italy"
-154,"Memorial Dario Lorenzini","Italy"
-86,"Supercoppa Allievi","Italy"
-83,"Campionato Nazionale Allievi Lega Pro","Italy"
-73,"Torneo LND","Italy"
-69,"Torneo delle Regioni Allievi","Italy"
-33,"Campionato Nazionale Giovanissimi","Italy"
-32,"Campionato Nazionale Allievi A e B","Italy"
-31,"Campionato Juniores Regionali","Italy"
13,"Serie A","Italy"
14,"Serie B","Italy"
53,"Serie C","Italy"
358,"Lega Pro 2","Italy"
659,"Serie D","Italy"
952,"Campionato Primavera 1","Italy"
1092,"Dante Berretti","Italy"
1600,"Campionato Primavera 2","Italy"
477,"Premier League","Jamaica"
109,"J1 League","Japan"
110,"J2 League","Japan"
540,"Japan Football League","Japan"
1272,"J3 League","Japan"
218,"League","Jordan"
1195,"1st Division","Jordan"
-230,"Reserve League","Kazakhstan"
79,"Premier League","Kazakhstan"
279,"1. Division","Kazakhstan"
715,"Premier League","Kenya"
1626,"Super League","Kenya"
136,"K League 1","Korea Republic"
616,"National League","Korea Republic"
618,"K3 League Advanced","Korea Republic"
1110,"K League 2","Korea Republic"
237,"Premier League","Kuwait"
670,"Division 1","Kuwait"
1091,"U19 League","Kuwait"
795,"Shoro Premier League","Kyrgyzstan"
1131,"Lao League","Laos"
116,"Virsliga","Latvia"
265,"1. Liga","Latvia"
217,"Premier League","Lebanon"
879,"Lesotho Premier League","Lesotho"
1130,"LFA First Division","Liberia"
236,"Premier League","Libya"
118,"A Lyga","Lithuania"
258,"1 Lyga","Lithuania"
1222,"Reserve League","Lithuania"
134,"National Division","Luxembourg"
492,"Promotion d'Honneur","Luxembourg"
661,"1. Division","Luxembourg"
694,"Primeira Divisão","Macao"
65,"First League","North Macedonia"
361,"Second League","North Macedonia"
911,"Ligue des Champions","Madagascar"
899,"Super League","Malawi"
153,"Super League","Malaysia"
154,"Premier League","Malaysia"
1007,"FAM League","Malaysia"
675,"Dhivehi Premier League","Maldives"
881,"Première Division","Mali"
152,"Premier League","Malta"
473,"First Division","Malta"
660,"Second Division","Malta"
1264,"Gozo First Division","Malta"
1391,"Play-offs 1/2","Malta"
592,"Premier League","Mauritania"
926,"Mauritian League","Mauritius"
-365,"U15 League","Mexico"
155,"Liga MX","Mexico"
156,"Ascenso MX","Mexico"
1153,"Liga Premier Serie A","Mexico"
1221,"U20 League","Mexico"
1257,"U17 League","Mexico"
80,"Divizia Națională","Moldova"
561,"Divizia A","Moldova"
856,"Divizia B","Moldova"
956,"Premier League","Mongolia"
-144,"Challenge Espoirs","Morocco"
209,"Botola Pro","Morocco"
474,"Botola 2","Morocco"
1243,"U21 League","Morocco"
810,"Moçambola","Mozambique"
791,"National League","Myanmar"
603,"Premier League","Namibia"
787,"A Division","Nepal"
1012,"National League","Nepal"
-44,"Dutch Youth League","Netherlands"
1,"Eredivisie","Netherlands"
5,"Eerste Divisie","Netherlands"
303,"Hoofdklasse","Netherlands"
658,"Eerste Klasse","Netherlands"
826,"Derde Divisie","Netherlands"
1066,"Beloften","Netherlands"
1075,"Eredivisie U19","Netherlands"
1448,"Reserve League","Netherlands"
1484,"Tweede Divisie","Netherlands"
585,"Curaçao Sekshon Pagá","Curaçao"
788,"Super Ligue","New Caledonia"
73,"Premiership","New Zealand"
1321,"ASB Youth League","New Zealand"
1496,"Regional Leagues","New Zealand"
351,"Primera Division","Nicaragua"
896,"Ligue 1","Niger"
296,"NPFL","Nigeria"
78,"Premiership","Northern Ireland"
310,"Championship","Northern Ireland"
316,"Premier Intermediate League","Northern Ireland"
1327,"NIFL Reserve League","Northern Ireland"
1491,"Premiership Development League","Northern Ireland"
-192,"Norway Cup","Norway"
29,"Eliteserien","Norway"
36,"Obos Ligaen","Norway"
503,"2. Division","Norway"
1005,"3. Division","Norway"
377,"Professional League","Oman"
520,"Premier League","Pakistan"
997,"2nd Division","Pakistan"
853,"West Bank League","Palestine"
525,"LPF","Panama"
1259,"Liga Nacional de Ascenso","Panama"
889,"National Soccer League","Papua New Guinea"
-167,"Ascenso Primera B ","Paraguay"
157,"Division Profesional","Paraguay"
546,"Division Intermedia","Paraguay"
-393,"Copa Federacion SUB 13","Peru"
-350,"Copa Centenario SUB 13","Peru"
-341,"Supercopa Movistar","Peru"
-313,"Copa Centenario SUB 17","Peru"
-312,"Copa Centenario SUB 15","Peru"
-311,"Copa Federacion SUB 14","Peru"
-310,"Copa Federacion SUB 15","Peru"
-309,"Copa Federacion SUB 16","Peru"
-308,"Copa Federacion SUB 17","Peru"
-307,"Copa Federacion SUB 18","Peru"
-295,"Torneo Centenario","Peru"
-46,"Torneo Reservas","Peru"
158,"Primera División","Peru"
439,"Segunda División","Peru"
916,"UFL","Philippines"
1526,"PFL","Philippines"
119,"Ekstraklasa","Poland"
120,"I Liga","Poland"
558,"II Liga","Poland"
647,"III Liga","Poland"
1085,"Mloda Ekstraklasa","Poland"
1197,"Central Youth League","Poland"
-371,"Liga Revelação Sub 23","Portugal"
-291,"Campeonato Safina","Portugal"
-137,"Taça Campeoes Clubes U15","Portugal"
-78,"Campeonato Nacional de Juniores U14","Portugal"
-77,"Campeonato Nacional de Juniores U15","Portugal"
-76,"Campeonato Nacional de Juniores U16","Portugal"
63,"Primeira Liga","Portugal"
100,"Segunda Liga","Portugal"
101,"Campeonato de Portugal Prio","Portugal"
651,"III Divisão","Portugal"
1076,"Júniores U19","Portugal"
1251,"Júniores U17","Portugal"
731,"LNFPR First Division","Puerto Rico"
1634,"Puerto Rico Soccer League","Puerto Rico"
-343,"Second Division Cup","Qatar"
-326,"U23 League","Qatar"
-231,"Youth League","Qatar"
215,"QNB Stars League","Qatar"
697,"Second Division","Qatar"
-160,"Campion National Juniori U15","Romania"
85,"Liga I","Romania"
159,"Liga II","Romania"
565,"Liga III","Romania"
-298,"Youth Club Competition U17","Russia"
-285,"Irtysh Cup","Russia"
121,"Premier League","Russia"
122,"FNL","Russia"
267,"PFL","Russia"
805,"LFL","Russia"
1087,"U21 Premier League","Russia"
781,"National Soccer League","Rwanda"
890,"National League","Samoa"
160,"Campionato","San Marino"
216,"Pro League","Saudi Arabia"
573,"Division 1","Saudi Arabia"
669,"Division 2","Saudi Arabia"
1101,"Youth League","Saudi Arabia"
43,"Premiership","Scotland"
45,"Championship","Scotland"
46,"League One","Scotland"
47,"League Two","Scotland"
301,"Highland League","Scotland"
347,"East of Scotland","Scotland"
1073,"SPL U20","Scotland"
1157,"Football League","Scotland"
1225,"SPFL Reserve League","Scotland"
1413,"Development League 2","Scotland"
1415,"Development League","Scotland"
1489,"Feeder Leagues","Scotland"
909,"Ligue 1","Senegal"
92,"Prva Liga","Serbia and Montenegro"
161,"Druga Liga","Serbia and Montenegro"
317,"Treca Liga","Serbia and Montenegro"
910,"Division One","Seychelles"
-50,"Championship","Sierra Leone"
