wyElementId;wyElementName;bestId;bestName;bestLevenshteinDist;
-316;Sachsen-Anhalt Pokal;VLSA;VL Sachsen-Anhalt;9;
-315;Thüringen Pokal;THLI;Thüringenliga;5;
-223;U-17 Bundesliga;L2;2.Bundesliga;5;
9;Bundesliga;L1;Bundesliga;0;
11;2. Bundesliga;L2;2.Bundesliga;1;
55;Regionalliga;RLW3;Regionalliga West;5;
366;Oberliga;L3;3.Liga;5;
622;3. Liga;L3;3.Liga;1;
945;U19 Bundesliga;L2;2.Bundesliga;4;
