wyElementId;wyElementName;wyElementClub;bestId;bestName;bestLevenshteinDist;
992;FC Rot-Weiß Erfurt;Rot-Weiß Erfurt;111;Rot-Weiß Erfurt;0;
993;1. FC Saarbrücken;Saarbrücken;1;1.FC Saarbrücken;1;
994;Rot-Weiss Essen;Rot-Weiss Essen;56;Rot-Weiss Essen;0;
995;SG Dynamo Dresden;Dynamo Dresden;129;SG Dynamo Dresden;0;
997;SV Wehen Wiesbaden;Wehen Wiesbaden;108;SV Wehen Wiesbaden;0;
998;SSV Jahn 2000 Regensburg;Jahn Regensburg;109;SSV Jahn Regensburg;4;
1000;FC Augsburg;Augsburg;167;FC Augsburg;0;
1001;TSG 1899 Hoffenheim;Hoffenheim;533;TSG 1899 Hoffenheim;0;
1002;VfR Aalen 1921;Aalen;10169;VfR Aalen U19;3;
1003;SV Stuttgarter Kickers;Stuttgarter Kickers;71;Stuttgarter Kickers;0;
1004;SC Pfullendorf 1919;Pfullendorf;10168;SC Pfullendorf U19;2;
1006;1. SC Feucht;SC Feucht;305;1.SC Feucht;1;
1008;Offenbacher FC Kickers 1901;Kickers Offenbach;107;Kickers Offenbach;0;
1009;SV 07 Elversberg;Elversberg;64;SV 07 Elversberg;0;
1010;Sportfreunde Siegen von 1899;Sportfreunde Siegen;63;Sportfreunde Siegen;0;
1011;Wuppertaler SV;Wuppertaler SV;299;Wuppertaler SV;0;
1013;SC Paderborn 07;Paderborn;127;SC Paderborn 07;0;
1014;KFC Uerdingen 05;Uerdingen;95;KFC Uerdingen 05;0;
1015;Braunschweiger TSV Eintracht 1895;Eintracht Braunschweig;23;Eintracht Braunschweig;0;
1016;Chemnitzer FC;Chemnitzer FC;21;Chemnitzer FC;0;
1018;FC St. Pauli von 1910;St. Pauli;35;FC St. Pauli;3;
1019;Kieler SV Holstein 1900;Holstein Kiel;269;Holstein Kiel;0;
1022;Arminia Bielefeld Amatuere;Bielefeld-A;10115;FC Cleefeld;7;
1024;SC Preußen 06 Münster;Preußen Münster;91;Preußen Münster;0;
1025;VfB Lübeck;Lübeck;78;VfB Lübeck;0;
1026;1. FC Union Berlin;Union Berlin;89;1.FC Union Berlin;1;
1027;VfL Osnabrück;Osnabrück;81;VfL Osnabrück;0;
1029;Düsseldorfer TuS Fortuna 1895;Fortuna Düsseldorf;38;Fortuna Düsseldorf;0;
1030;1. FC Schweinfurt 1905;Schweinfurt;103;1.FC Schweinfurt 05;3;
1031;1. FC Eschborn 1930;Eschborn;54610;SC Eschborn;3;
1033;VfB Leipzig;VfB Leipzig;23826;RB Leipzig;2;
1034;VfR Neumünster von 1910;VfR Neumünster;912;VfR Neumünster;0;
1036;SG Wattenscheid 09;Wattenscheid 09;97;SG Wattenscheid 09;0;
1037;Germany;Germany;3262;Germany;0;
2338;SSV Ulm 1846;Ulm;69;SSV Ulm 1846;0;
2363;FSV Frankfurt;FSV Frankfurt;293;FSV Frankfurt;0;
2364;SV Waldhof Mannheim 07;Waldhof Mannheim;313;SV Waldhof Mannheim II;2;
2365;SSV Reutlingen 05;Reutlingen;68;SSV Reutlingen 05;0;
2366;SV Babelsberg 03;Babelsberg;90;SV Babelsberg 03;0;
2367;SC Fortuna Köln;Fortuna Köln;92;SC Fortuna Köln;0;
2368;Tennis Borussia Berlin;Tennis Borussia;101;Tennis Borussia Berlin;0;
2370;FSV Zwickau;Zwickau;275;FSV Zwickau;0;
2371;SV Meppen 1912;Meppen;247;SV Meppen;3;
2372;FC Carl Zeiss Jena;Carl Zeiss Jena;113;FC Carl Zeiss Jena;0;
2373;VfB Oldenburg 1897;VfB Oldenburg;166;VfB Oldenburg;0;
2374;FC 08 Homburg Saar;Homburg;5471;SG Burg;4;
2549;SV Darmstadt 1898;Darmstadt 98;105;SV Darmstadt 98;2;
2551;VfB Borussia Neunkirchen;Borussia Neunkirchen;328;Borussia Neunkirchen;0;
2552;SpVgg Ansbach 09;Ansbach;11841;SpVgg Ansbach U19;2;
2553;SC Borussia 04 Fulda;Borussia Fulda;597;SC Borussia Fulda;3;
2816;Lüneburger SK;Lüneburg;7488;Lüneburger SV;1;
2817;SV Wilhelmshaven;Wilhelmshaven;96;SV Wilhelmshaven;0;
2818;1. FC Magdeburg;Magdeburg;187;1.FC Magdeburg;1;
2819;SC Verl 1924;Verl;93;SC Verl;3;
2821;Dresdner SC;Dresdner SC;98;Dresdner SC;0;
2923;FC Nöttingen 1957;Nöttingen;1203;FC Nöttingen;3;
2924;TuS Koblenz 1911;Koblenz;7851;TuS Koblenz U19;3;
4110;Germany;Germany;3262;Germany;0;
4279;Germany Under 20;Germany U20;5709;Germany U20;0;
4362;Germany Under 21;Germany U21;3817;Germany U21;0;
4416;1. FFC Frankfurt;FFC Frankfurt;293;FSV Frankfurt;2;
4417;FC Bayern München;Bayern München;35238;FC Stern München;3;
4418;MSV Duisburg;Duisburg;52;MSV Duisburg;0;
4419;FFC Heike Rheine;Heike Rheine;14665;Amisia Rheine;5;
4420;1. FFC Turbine Potsdam;Turbine Potsdam;13422;Turbine Halle;7;
4421;FSV Frankfurt;FSV Frankfurt;293;FSV Frankfurt;0;
4422;Hamburger SV;Hamburger SV;41;Hamburger SV;0;
4423;SC 07 Bad Neuenahr;SC 07 Bad Neuenahr;3673;SG Bad Soden;10;
4424;SC Freiburg;Freiburg;60;SC Freiburg;0;
4425;SGS Essen 19/68;SGS Essen;1814;SG Massen;3;
4426;TSV 1846 Crailsheim;Crailsheim;867;TSV Crailsheim;4;
4427;VfL Wolfsburg;Wolfsburg;82;VfL Wolfsburg;0;
4572;BSV Kickers Emden;Kickers Emden;139;Kickers Emden;0;
4573;Karlsruher SC Amateure;Karlsruhe-A;48;Karlsruher SC;4;
4574;SpVgg Bayreuth;Bayreuth;752;SpVgg Bayreuth;0;
5176;VfL Sindelfingen;Sindelfingen;437;VfL Sindelfingen;0;
5177;FFC Brauweiler Pulheim 2000;FFC Brauweiler Pulheim 2000;35554;FC Bergheim 2000;12;
5178;SuS Timmel;SuS Timmel;35560;TuS Fintel;4;
5179;KSV Holstein von 1900;Holstein Kiel;269;Holstein Kiel;0;
5180;Victoria Gersten;Victoria Gersten;33725;Victoria Gersten;0;
5181;FFV Neubrandenburg;FFV Neubrandenburg;1279;1.FC Neubrandenburg 04;6;
5182;1. FFC Turbine Potsdam II;Turbine Potsdam II;13422;Turbine Halle;9;
5183;Tennis Borussia Berlin;Tennis Borussia;101;Tennis Borussia Berlin;0;
5184;Wolfenbuttel;Wolfenbuttel;13429;MTV Wolfenbüttel;5;
5185;FSV Gütersloh 2009;Gütersloh;220;FC Gütersloh;3;
5186;TSV Jahn Calden;Jahn Calden;83;VfR Aalen;6;
5187;Wattenscheid 09;Wattenscheid 09;97;SG Wattenscheid 09;3;
5188;Lütgendortmund;Lütgendortmund;72377;SG Lütgendortmund;3;
5189;FFC Wacker München;Wacker München;2226;FC Wacker München;1;
5190;SC Sand;SC Sand;9914;SSV Sand;2;
5191;Karlsruher SC;Karlsruher SC;48;Karlsruher SC;0;
5192;TuS Niederkirchen 1900;TuS Niederkirchen 1900;31736;SuS Neuenkirchen U19;7;
5193;FSV Viktoria Jägersburg;Jägersburg;7827;FSV Jägersburg;4;
5194;1. FC Saarbrücken;Saarbrücken;1;1.FC Saarbrücken;1;
5195;VfL Sindelfingen II;VfL Sindelfingen II;55890;VfL Sindelfingen II;0;
5196;1. FFC Frankfurt II;FFC Frankfurt II;293;FSV Frankfurt;5;
5197;FF USV Jena;USV Jena;5424;SSV Weng;3;
5198;FC Erzgebirge Aue;Erzgebirge Aue;94;FC Erzgebirge Aue;0;
5199;TSV Bayer 04 Leverkusen;Bayer Leverkusen;15;Bayer 04 Leverkusen;3;
5200;Oberaussem;Oberaussem;1453;SC Hassel;6;
5201;1. FC Lokomotive Leipzig;Lokomotive Leipzig;497;1.FC Lokomotive Leipzig;1;
5202;Hamburger SV II;Hamburger SV II;389;Hamburger SV II;0;
5203;Jungingen;Jungingen;6738;SV Jungingen;3;
5473;1. FC Köln II;Köln II;438;1.FC Köln II;1;
5474;FC 08 Villingen;Villingen;951;FC 08 Villingen;0;
5475;FC Bremerhaven;FC Bremerhaven;5040;SFL Bremerhaven;2;
5476;FC Ingolstadt 04;Ingolstadt;4795;FC Ingolstadt 04;0;
5477;FC Kutzhof;FC Kutzhof;8176;FC Kutzhof;0;
5479;1. FSV Mainz 05 II;Mainz 05 II;851;1.FSV Mainz 05 II;1;
5480;FC Hansa Rostock II;Hansa Rostock II;402;FC Hansa Rostock II;0;
5481;MSV 1919 Neuruppin;MSV 1919 Neuruppin;580;MSV 1919 Neuruppin;0;
5482;FC Rot-Weiß Erfurt II;Rot-Weiß Erfurt II;111;Rot-Weiß Erfurt;3;
5483;VfL Bochum 1848 II;Bochum II;42521;CSV Bochum II;4;
5484;VfL Wolfsburg II;Wolfsburg II;143;VfL Wolfsburg II;0;
5514;FC Sachsen Leipzig 1990;Sachsen Leipzig;63920;LFV Sachsen Leipzig;4;
5517;Bayer 04 Leverkusen II;Bayer Leverkusen II;15;Bayer 04 Leverkusen;3;
5518;Hertha BSC II;Hertha BSC II;45;Hertha BSC II;0;
5519;Hamburger SV II;Hamburger SV II;389;Hamburger SV II;0;
5520;SV Werder Bremen II;Werder Bremen II;87;SV Werder Bremen II;0;
5521;TSV 1860 München II;1860 München II;73;TSV 1860 München II;0;
5522;VfB Stuttgart 1893 II;Stuttgart II;102;VfB Stuttgart II;4;
5523;FC Bayern München II;Bayern München II;23112;FC Bayern München U16;3;
5524;Karlsruher SC II;Karlsruher SC II;48;Karlsruher SC;3;
5525;1. FC Kaiserslautern II;Kaiserslautern II;151;1.FC Kaiserslautern II;1;
5800;1. FC Bocholt;FC Bocholt;392;1.FC Bocholt;1;
5801;1. FC Kleve;Kleve;973;1.FC Kleve;1;
5802;1. FC Bad Kötzting;Bad Kötzting;2997;1.FC Bad Kötzting;1;
5803;1. FC Normannia Schwäbisch Gmünd;Normannia Gmünd;3466;1.FC Normannia Gmünd;5;
5804;1. FC Nürnberg II;Nürnberg II;473;1.FC Nuremberg II;4;
5805;1. FC Passau;Passau;2285;1.FC Passau;1;
5806;1. FC Saarbrücken II;Saarbrücken II;1404;1.FC Saarbrücken II;1;
5807;1. FC Schwalmstadt;Schwalmstadt;4784;1.FC Schwalmstadt;1;
5808;1. FC Union Solingen;Union Solingen;848;1.FC Union Solingen;1;
5809;TSV Alemannia Aachen II;Alemannia Aachen II;8;Alemannia Aachen;3;
5810;Altonaer FC von 1893;Altona 93;298;Altona 93;0;
5811;Arminia Bielefeld II;Arminia Bielefeld II;10;Arminia Bielefeld;3;
5812;SV Arminia Hannover;Arminia Hannover;526;Arminia Hannover;0;
5813;FC Bergedorf 85;Bergedorf 85;883;FC Bergedorf 85;0;
5814;ASV Durlach 1902;Durlach;2221;ASV Durlach;4;
5815;FC Bayern Alzenau 1920;Bayern Alzenau;4900;FC Bayern Alzenau;3;
5816;Berliner AK '07;BAK '07;584;Berliner AK 07;1;
5817;Berliner FC Dynamo;BFC Dynamo;222;BFC Dynamo;0;
5818;Berliner FC Preussen;BFC Preussen;4700;BFC Preussen;0;
5819;Türkiyemspor Berlin;Türkiyemspor;1427;Türkiyemspor Berlin;0;
5820;Bonner SC;Bonner SC;215;Bonner SC;0;
5821;BV Borussia 09 Dortmund II;Borussia Dortmund II;17;Borussia Dortmund II;0;
5822;Borussia Mönchengladbach II;Borussia M'gladbach II;1006;Borussia Mönchengladbach II;0;
5823;Brinkumer SV;Brinkumer SV;6322;Brinkumer SV;0;
5824;SV Buchonia Flieden 1912;Buchonia Flieden;1394;SV Buchonia Flieden;3;
5825;FSV Budissa Bautzen;Budissa Bautzen;1412;Budissa Bautzen;0;
5826;BV Cloppenburg;Cloppenburg;571;BV Cloppenburg;0;
5827;Delbrücker SC;Delbrücker SC;916;Delbrücker SC;0;
5828;FT Eider Büdelsdorf;Eider Büdelsdorf;864;FT Eider Büdelsdorf;0;
5829;Eintracht Braunschweig II;Eintracht Braunschw. II;1212;Eintracht Braunschweig II;0;
5830;SG Eintracht Bad Kreuznach;SG Eintracht Bad Kreuznach;2263;Eintracht Bad Kreuznach;3;
5831;Eintracht Frankfurt II;Eintracht Frankfurt II;24;Eintracht Frankfurt;3;
5832;SV Eintracht Nordhorn;Eintracht Nordhorn;3907;SV Eintracht Gommern;5;
5833;SV Eintracht Trier II;Eintracht Trier II;104;SV Eintracht Trier 05;2;
5835;FC Eilenburg;Eilenburg;4825;FC Eilenburg;0;
